Item 0 of 259: {'company': 'Vanguard', 'platform': 'workday', 'slug': 'vanguard/wd5/vanguard_external'}
Item 1 of 259: {'company': 'Figma', 'platform': 'greenhouse', 'slug': 'figma'}
Item 2 of 259: {'company': 'Notion', 'platform': 'ashby', 'slug': 'notion'}
Item 3 of 259: {'company': 'Databricks', 'platform': 'greenhouse', 'slug': 'databricks'}
Item 4 of 259: {'company': 'Klaviyo', 'platform': 'greenhouse', 'slug': 'klaviyo'}
Item 5 of 259: {'company': 'Stripe', 'platform': 'greenhouse', 'slug': 'stripe'}
Item 6 of 259: {'company': 'MMC', 'platform': 'workday', 'slug': 'mmc/wd1/MMC'}
Item 7 of 259: {'company': 'Leidos', 'platform': 'workday', 'slug': 'leidos/wd5/External'}
Item 8 of 259: {'company': 'Relativity', 'platform': 'workday', 'slug': 'kcura/wd1/External_Career_Site'}
Item 9 of 259: {'company': 'MongoDB', 'platform': 'greenhouse', 'slug': 'mongodb'}
Item 10 of 259: {'company': 'Snowflake', 'platform': 'greenhouse', 'slug': 'snowflakecomputing'}
Item 11 of 259: {'company': 'Coinbase', 'platform': 'greenhouse', 'slug': 'coinbase'}
Item 12 of 259: {'company': 'OpenAI', 'platform': 'ashby', 'slug': 'openai'}
Item 13 of 259: {'company': 'Outreach', 'platform': 'lever', 'slug': 'outreach'}
Item 14 of 259: {'company': 'Anthropic', 'platform': 'greenhouse', 'slug': 'anthropic'}
Item 15 of 259: {'company': 'PolyAI', 'platform': 'greenhouse', 'slug': 'polyai'}
Item 16 of 259: {'company': 'Parloa', 'platform': 'greenhouse', 'slug': 'parloa'}
Item 17 of 259: {'company': 'Intercom', 'platform': 'greenhouse', 'slug': 'intercom'}
Item 18 of 259: {'company': 'Hume AI', 'platform': 'greenhouse', 'slug': 'humeai'}
Item 19 of 259: {'company': 'ElevenLabs', 'platform': 'ashby', 'slug': 'elevenlabs'}
Item 20 of 259: {'company': 'Deepgram', 'platform': 'ashby', 'slug': 'deepgram'}
Item 21 of 259: {'company': 'Vapi', 'platform': 'ashby', 'slug': 'vapi'}
Item 22 of 259: {'company': 'Bland AI', 'platform': 'ashby', 'slug': 'bland'}
Item 23 of 259: {'company': 'Airtable', 'platform': 'greenhouse', 'slug': 'airtable'}
Item 24 of 259: {'company': 'Vercel', 'platform': 'greenhouse', 'slug': 'vercel'}
Item 25 of 259: {'company': 'Temporal', 'platform': 'ashby', 'slug': 'temporal'}
Item 26 of 259: {'company': 'Arize AI', 'platform': 'greenhouse', 'slug': 'arizeai'}
Item 27 of 259: {'company': 'RunPod', 'platform': 'greenhouse', 'slug': 'runpod'}
Item 28 of 259: {'company': 'Glean', 'platform': 'greenhouse', 'slug': 'gleanwork'}
Item 29 of 259: {'company': 'Ada', 'platform': 'greenhouse', 'slug': 'ada18'}
Item 30 of 259: {'company': 'Sierra', 'platform': 'ashby', 'slug': 'sierra'}
Item 31 of 259: {'company': 'Decagon', 'platform': 'ashby', 'slug': 'decagon'}
Item 32 of 259: {'company': 'Lindy', 'platform': 'ashby', 'slug': 'lindy'}
Item 33 of 259: {'company': 'Speechmatics', 'platform': 'greenhouse', 'slug': 'speechmatics'}
Item 34 of 259: {'company': 'n8n', 'platform': 'ashby', 'slug': 'n8n'}
Item 35 of 259: {'company': 'Zapier', 'platform': 'ashby', 'slug': 'zapier'}
Item 36 of 259: {'company': 'Boomi', 'platform': 'greenhouse', 'slug': 'boomilp'}
Item 37 of 259: {'company': 'Cohere', 'platform': 'ashby', 'slug': 'cohere'}
Item 38 of 259: {'company': 'LangChain', 'platform': 'ashby', 'slug': 'langchain'}
Item 39 of 259: {'company': 'Pinecone', 'platform': 'ashby', 'slug': 'pinecone'}
Item 40 of 259: {'company': 'Mistral AI', 'platform': 'lever', 'slug': 'mistral'}
Item 41 of 259: {'company': 'Palantir', 'platform': 'lever', 'slug': 'palantir'}
Item 42 of 259: {'company': 'Later', 'platform': 'greenhouse', 'slug': 'later'}
Item 43 of 259: {'company': 'Safari AI', 'platform': 'greenhouse', 'slug': 'safariai'}
Item 44 of 259: {'company': 'Hootsuite', 'platform': 'greenhouse', 'slug': 'hootsuite'}
Item 45 of 259: {'company': 'Klue', 'platform': 'ashby', 'slug': 'klue'}
Item 46 of 259: {'company': 'Glacis AI', 'platform': 'ashby', 'slug': 'glacis-ai'}
Item 47 of 259: {'company': 'Sanctuary AI', 'platform': 'lever', 'slug': 'sanctuary'}
Item 48 of 259: {'company': 'Factorial', 'platform': 'greenhouse', 'slug': 'factorial'}
Item 49 of 259: {'company': 'Attio', 'platform': 'ashby', 'slug': 'attio'}
Item 50 of 259: {'company': 'Tinybird', 'platform': 'lever', 'slug': 'tinybird'}
Item 51 of 259: {'company': 'Clarity AI', 'platform': 'greenhouse', 'slug': 'clarityai'}
Item 52 of 259: {'company': 'Travelperk', 'platform': 'greenhouse', 'slug': 'travelperk'}
Item 53 of 259: {'company': 'Aleph Alpha', 'platform': 'ashby', 'slug': 'alephalpha'}
Item 54 of 259: {'company': 'DeepL', 'platform': 'ashby', 'slug': 'deepl'}
Item 55 of 259: {'company': 'Black Forest Labs', 'platform': 'greenhouse', 'slug': 'blackforestlabs'}
Item 56 of 259: {'company': 'Celonis', 'platform': 'greenhouse', 'slug': 'celonis'}
Item 57 of 259: {'company': 'Contentful', 'platform': 'greenhouse', 'slug': 'contentful'}
Item 58 of 259: {'company': 'GetYourGuide', 'platform': 'greenhouse', 'slug': 'getyourguide'}
Item 59 of 259: {'company': 'HelloFresh', 'platform': 'greenhouse', 'slug': 'hellofresh'}
Item 60 of 259: {'company': 'Forto', 'platform': 'lever', 'slug': 'forto'}
Item 61 of 259: {'company': 'Lakera', 'platform': 'ashby', 'slug': 'lakera.ai'}
Item 62 of 259: {'company': 'Scandit', 'platform': 'greenhouse', 'slug': 'scandit'}
Item 63 of 259: {'company': 'Cradle', 'platform': 'ashby', 'slug': 'cradlebio'}
Item 64 of 259: {'company': 'Photoroom', 'platform': 'ashby', 'slug': 'photoroom'}
Item 65 of 259: {'company': 'Pigment', 'platform': 'lever', 'slug': 'pigment'}
Item 66 of 259: {'company': 'Diabolocom', 'platform': 'lever', 'slug': 'diabolocom'}
Item 67 of 259: {'company': 'Wayve', 'platform': 'greenhouse', 'slug': 'wayve'}
Item 68 of 259: {'company': 'Isomorphic Labs', 'platform': 'greenhouse', 'slug': 'isomorphiclabs'}
Item 69 of 259: {'company': 'PhysicsX', 'platform': 'greenhouse', 'slug': 'physicsx'}
Item 70 of 259: {'company': 'Stability AI', 'platform': 'greenhouse', 'slug': 'stabilityai'}
Item 71 of 259: {'company': 'Synthesia', 'platform': 'ashby', 'slug': 'synthesia'}
Item 72 of 259: {'company': 'Faculty', 'platform': 'ashby', 'slug': 'faculty'}
Item 73 of 259: {'company': 'Causaly', 'platform': 'ashby', 'slug': 'causaly'}
Item 74 of 259: {'company': 'Lovable', 'platform': 'ashby', 'slug': 'lovable'}
Item 75 of 259: {'company': 'Legora', 'platform': 'ashby', 'slug': 'legora'}
Item 76 of 259: {'company': 'Spotify', 'platform': 'lever', 'slug': 'spotify'}
Item 77 of 259: {'company': 'Vinted', 'platform': 'lever', 'slug': 'vinted'}
Item 78 of 259: {'company': 'Corti', 'platform': 'ashby', 'slug': 'corti'}
Item 79 of 259: {'company': 'Pleo', 'platform': 'ashby', 'slug': 'pleo'}
Item 80 of 259: {'company': 'Templafy', 'platform': 'greenhouse', 'slug': 'templafy'}
